zip,city,county_name
98671,Washougal,Clark County
98672,White Salmon,Klickitat County
98673,Wishram,Klickitat County
98674,Woodland,Cowlitz County
98675,Yacolt,Clark County
98682,Vancouver,Clark County
98683,Vancouver,Clark County
98684,Vancouver,Clark County
98685,Vancouver,Clark County
98686,Vancouver,Clark County
98801,Wenatchee,Chelan County
98802,East Wenatchee,Douglas County
98811,Ardenvoir,Chelan County
98812,Brewster,Okanogan County
98813,Bridgeport,Douglas County
98814,Carlton,Okanogan County
98815,Cashmere,Chelan County
98816,Chelan,Chelan County
98817,Chelan Falls,Chelan County
98819,Conconully,Okanogan County
98821,Dryden,Chelan County
98822,Entiat,Chelan County
98823,Ephrata,Grant County
98824,George,Grant County
98826,Leavenworth,Chelan County
98827,Loomis,Okanogan County
98828,Malaga,Chelan County
98829,Malott,Okanogan County
98830,Mansfield,Douglas County
98831,Manson,Chelan County
98832,Marlin,Grant County
98833,Mazama,Okanogan County
98834,Methow,Okanogan County
98836,Monitor,Chelan County
98837,Moses Lake,Grant County
98840,Okanogan,Okanogan County
98841,Omak,Okanogan County
98843,Orondo,Douglas County
98844,Oroville,Okanogan County
98845,Palisades,Douglas County
98846,Pateros,Okanogan County
98847,Peshastin,Chelan County
98848,Quincy,Grant County
98849,Riverside,Okanogan County
98850,Rock Island,Douglas County
98851,Soap Lake,Grant County
98852,Stehekin,Chelan County
98853,Stratford,Grant County
98855,Tonasket,Okanogan County
98856,Twisp,Okanogan County
98857,Warden,Grant County
98858,Waterville,Douglas County
98859,Wauconda,Okanogan County
98860,Wilson Creek,Grant County
98862,Winthrop,Okanogan County
98901,Yakima,Yakima County
98902,Yakima,Yakima County
98903,Yakima,Yakima County
98908,Yakima,Yakima County
98921,Buena,Yakima County
98922,Cle Elum,Kittitas County
98923,Cowiche,Yakima County
98925,Easton,Kittitas County
98926,Ellensburg,Kittitas County
98930,Grandview,Yakima County
98932,Granger,Yakima County
98933,Harrah,Yakima County
98934,Kittitas,Kittitas County
98935,Mabton,Yakima County
98936,Moxee,Yakima County
98937,Naches,Yakima County
98938,Outlook,Yakima County
98939,Parker,Yakima County
98940,Ronald,Kittitas County
98941,Roslyn,Kittitas County
98942,Selah,Yakima County
98943,South Cle Elum,Kittitas County
98944,Sunnyside,Benton County
98946,Thorp,Kittitas County
98947,Tieton,Yakima County
98948,Toppenish,Yakima County
98950,Vantage,Kittitas County
98951,Wapato,Yakima County
98952,White Swan,Yakima County
98953,Zillah,Yakima County
99001,Airway Heights,Spokane County
99003,Chattaroy,Spokane County
99004,Cheney,Spokane County
99005,Colbert,Spokane County
99006,Deer Park,Spokane County
99008,Edwall,Lincoln County
99009,Elk,Spokane County
99011,Fairchild Air Force Base,Spokane County
99012,Fairfield,Spokane County
99013,Ford,Stevens County
99014,Four Lakes,Spokane County
99016,Greenacres,Spokane County
99017,Lamont,Whitman County
99018,Latah,Spokane County
99019,Liberty Lake,Spokane County
99020,Marshall,Spokane County
99021,Mead,Spokane County
99022,Medical Lake,Spokane County
99023,Mica,Spokane County
99025,Newman Lake,Spokane County
99026,Nine Mile Falls,Spokane County
99027,Otis Orchards,Spokane County
99029,Reardan,Lincoln County
99030,Rockford,Spokane County
99031,Spangle,Spokane County
99032,Sprague,Lincoln County
99033,Tekoa,Whitman County
99034,Tumtum,Stevens County
99036,Valleyford,Spokane County
99037,Veradale,Spokane County
99039,Waverly,Spokane County
99040,Wellpinit,Stevens County
99101,Addy,Stevens County
99102,Albion,Whitman County
99103,Almira,Lincoln County
99105,Benge,Adams County
99109,Chewelah,Stevens County
99110,Clayton,Stevens County
99111,Colfax,Whitman County
99113,Colton,Whitman County
99114,Colville,Stevens County
99115,Coulee City,Douglas County
99116,Coulee Dam,Okanogan County
99117,Creston,Lincoln County
99118,Curlew,Ferry County
99119,Cusick,Pend Oreille County
99121,Danville,Ferry County
99122,Davenport,Lincoln County
99123,Electric City,Grant County
99124,Elmer City,Okanogan County
99125,Endicott,Whitman County
99126,Evans,Stevens County
99128,Farmington,Whitman County
99129,Fruitland,Stevens County
99130,Garfield,Whitman County
99131,Gifford,Stevens County
99133,Grand Coulee,Douglas County
99134,Harrington,Lincoln County
99135,Hartline,Grant County
99136,Hay,Whitman County
99137,Hunters,Stevens County
99138,Inchelium,Ferry County
99139,Ione,Pend Oreille County
99140,Keller,Ferry County
99141,Kettle Falls,Ferry County
99143,Lacrosse,Whitman County
99144,Lamona,Lincoln County
99146,Laurier,Ferry County
99147,Lincoln,Lincoln County
99148,Loon Lake,Stevens County
99149,Malden,Whitman County
99150,Malo,Ferry County
99151,Marcus,Stevens County
99152,Metaline,Pend Oreille County
99153,Metaline Falls,Pend Oreille County
99154,Mohler,Lincoln County
99155,Nespelem,Okanogan County
99156,Newport,Pend Oreille County
